,company name,channel id,channel title,playlist title,post time
0,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros. Pictures,SHAFT  - In Theaters June 14,2/7/19 4:51
1,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros. Pictures,THE SUN IS ALSO A STAR - Only in Theaters May 17,2/6/19 16:00
2,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros. Pictures,THEY SHALL NOT GROW OLD - Now Playing In Theaters,11/20/18 16:59
3,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros. Pictures,POK??MON Detective Pikachu - In Theaters May 10,11/12/18 16:47
4,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros. Pictures,ISN'T IT ROMANTIC - In Theaters February 13,10/31/18 18:59
5,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,Breakthrough - In Theaters This Easter,12/4/18 22:58
6,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,Once Upon A Deadpool,11/18/18 19:54
7,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,"Dark Phoenix - In Theaters June 7, 2019",9/26/18 20:50
8,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,The Hate U Give - Now On Digital and Blu-ray,6/21/18 21:47
9,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,"Bad Times at the El Royale - Now On Digital, Blu-ray & DVD",6/7/18 5:20
10,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,MA - In Theaters May 31,2/13/19 16:12
11,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,Yesterday - In Theaters June 28,2/12/19 16:03
12,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,Fast & Furious Presents: Hobbs & Shaw - In Theaters August 2,2/1/19 14:07
13,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,A Dog's Journey - In Theaters May 17,1/29/19 16:01
14,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,Little - In Theaters April 12,1/9/19 16:00
15,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,Paramount Pictures,Wonder Park | In Theaters March 15,11/14/18 14:14
16,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,Paramount Pictures,Pet Sematary | In Theatres April 5,10/10/18 13:03
17,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,Paramount Pictures,Pet Sematary | In Theatres April,10/10/18 13:02
18,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,Paramount Pictures,Rocketman | In Theatres May 31,10/1/18 7:05
19,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,Paramount Pictures,Instant Family | Now Playing,9/5/18 19:03
20,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,Focus Features,Greta,12/20/18 16:00
21,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,Focus Features,Downton Abbey,12/14/18 15:53
22,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,Focus Features,The Mustang,12/13/18 16:00
23,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,Focus Features,Everybody Knows,11/15/18 16:01
