,company name,channel id,channel title,playlist title,post time
0,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros. Pictures,SHAFT  - In Theaters June 14,2019-02-07 04:51:45
1,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros. Pictures,THE SUN IS ALSO A STAR - Only in Theaters May 17,2019-02-06 16:00:41
2,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros. Pictures,THEY SHALL NOT GROW OLD - Now Playing In Theaters,2018-11-20 16:59:57
3,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros. Pictures,POKÉMON Detective Pikachu - In Theaters May 10,2018-11-12 16:47:37
4,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros. Pictures,ISN'T IT ROMANTIC - In Theaters February 13,2018-10-31 18:59:35
5,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,Breakthrough - In Theaters This Easter,2018-12-04 22:58:02
6,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,Once Upon A Deadpool,2018-11-18 19:54:04
7,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,"Dark Phoenix - In Theaters June 7, 2019",2018-09-26 20:50:46
8,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,The Hate U Give - Now On Digital and Blu-ray,2018-06-21 21:47:02
9,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,20th Century Fox,"Bad Times at the El Royale - Now On Digital, Blu-ray & DVD",2018-06-07 05:20:09
10,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,MA - In Theaters May 31,2019-02-13 16:12:46
11,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,Yesterday - In Theaters June 28,2019-02-12 16:03:21
12,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,Fast & Furious Presents: Hobbs & Shaw - In Theaters August 2,2019-02-01 14:07:11
13,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,A Dog's Journey - In Theaters May 17,2019-01-29 16:01:05
14,Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,Universal Pictures,Little - In Theaters April 12,2019-01-09 16:00:44
15,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,Paramount Pictures,Wonder Park | In Theaters March 15,2018-11-14 14:14:11
16,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,Paramount Pictures,Pet Sematary | In Theatres April 5,2018-10-10 13:03:41
17,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,Paramount Pictures,Pet Sematary | In Theatres April,2018-10-10 13:02:59
18,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,Paramount Pictures,Rocketman | In Theatres May 31,2018-10-01 07:05:24
19,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,Paramount Pictures,Instant Family | Now Playing,2018-09-05 19:03:05
20,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,Focus Features,Greta,2018-12-20 16:00:33
21,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,Focus Features,Downton Abbey,2018-12-14 15:53:43
22,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,Focus Features,The Mustang,2018-12-13 16:00:32
23,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,Focus Features,Everybody Knows,2018-11-15 16:01:01
24,Focus Features,UCU4SM3j_9TNWaSu8KdGV50g,Focus Features,You Know That Scene,2018-11-07 18:43:46
25,Netflix US,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,She's Gotta Have It | Netflix,2019-03-05 22:59:34
26,Netflix US,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,Music Inspired by the Film ROMA | Netflix,2019-02-19 20:33:35
27,Netflix US,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,Russian Doll | Netflix,2019-02-18 23:38:47
28,Netflix US,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,The Umbrella Academy | Netflix,2019-02-15 17:28:13
29,Netflix US,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,YOU | Netflix,2019-01-18 01:09:53
30,Sony Pictures,UCz97F7dMxBNOfGYu3rx8aCw,Sony Pictures Entertainment,MISS BALA - In Theaters February 1st,2019-01-24 22:10:49
31,Sony Pictures,UCz97F7dMxBNOfGYu3rx8aCw,Sony Pictures Entertainment,ESCAPE ROOM,2019-01-03 00:49:32
32,Sony Pictures,UCz97F7dMxBNOfGYu3rx8aCw,Sony Pictures Entertainment,DOG'S WAY HOME,2018-11-20 18:59:28
33,Sony Pictures,UCz97F7dMxBNOfGYu3rx8aCw,Sony Pictures Entertainment,THE FRONT RUNNER,2018-11-06 17:11:41
34,Sony Pictures,UCz97F7dMxBNOfGYu3rx8aCw,Sony Pictures Entertainment,THE GIRL IN THE SPIDER'S WEB,2018-10-12 16:20:06
