PlayerID_x,Name,Team,Position,Games,Income,Points,Rebounds,Assists,BlockedShots,Steals
20000571,LeBron James,CLE,SF,74,30963450,1954,641,647,44,92
20000635,Mike Conley,MEM,PG,69,26540100,1415,243,433,19,92
20000603,Al Horford,BOS,PF,68,26540100,952,462,337,87,52
20000527,Dirk Nowitzki,DAL,PF,54,25000000,769,351,82,38,30
20000784,Carmelo Anthony,NY,PF,74,24559380,1659,438,212,31,61
20000619,Damian Lillard,POR,PG,75,24328425,2024,368,439,20,69
20000772,Dwyane Wade,CHI,SG,60,23200000,1096,271,228,41,85
20000543,Dwight Howard,ATL,C,74,23180275,1002,941,103,92,67
20000664,Chris Paul,LAC,PG,61,22868827,1104,304,563,8,119
20000468,Anthony Davis,NO,PF,75,22116750,2099,887,157,167,97
20000441,Bradley Beal,WAS,SG,78,22116750,1779,240,268,21,86
20000516,Derrick Rose,NY,PG,64,21323252,1154,245,283,17,44
20000663,DeAndre Jordan,LAC,C,81,21165675,1029,1115,96,135,50
20000572,Kevin Love,CLE,PF,60,21165675,1142,667,116,22,53
20000633,Marc Gasol,MEM,C,74,21165675,1446,462,338,98,68
20000588,Brook Lopez,BKN,C,75,21165675,1539,404,176,124,38
20000617,Nicolas Batum,CHA,SG,77,20869566,1164,483,455,30,88
20000616,LaMarcus Aldridge,SA,PF,72,20575005,1243,526,139,87,46
20000661,Blake Griffin,LAC,PF,61,20140839,1316,496,300,23,58
20000602,Paul Millsap,ATL,PF,69,20072033,1246,534,252,62,90
20000475,Ryan Anderson,HOU,PF,72,18735364,982,329,68,14,31
20000622,Allen Crabbe,POR,SG,79,18500000,845,224,94,20,54
20000742,Paul George,IND,SF,75,18314532,1775,492,251,26,118
20000770,Luol Deng,LAL,SF,57,18000000,425,294,74,20,48
20000574,Kyrie Irving,CLE,PG,72,17638063,1816,227,419,23,83
20000646,Kawhi Leonard,SA,SF,74,17638063,1888,429,260,55,131
20000515,Jimmy Butler,CHI,SG,76,17552209,1816,470,417,31,143
20000676,Tobias Harris,DET,SF,82,17200000,1321,416,141,40,60
20000835,Enes Kanter,OKC,C,72,17145838,1033,483,67,38,31
20000629,Wesley Matthews,DAL,SG,73,17145838,986,261,210,16,74
20000818,Greg Monroe,MIL,C,81,17145838,951,533,186,38,90
20000679,Evan Fournier,ORL,SF,69,17000000,1167,209,202,4,67
20000758,Bismack Biyombo,ORL,C,81,17000000,483,568,74,90,25
20000514,Joakim Noah,NY,C,46,17000000,232,402,103,37,30
20000862,DeMarcus Cousins,NO,C,72,16957900,1942,799,333,93,99
20000442,John Wall,WAS,PG,78,16957900,1805,329,831,50,159
20000486,Klay Thompson,GS,SG,78,16663575,1742,287,160,39,66
20000556,Evan Turner,POR,SG,65,16393443,586,246,205,24,55
20000833,Gordon Hayward,UTA,SF,73,16073140,1601,394,252,20,73
20000573,Timofey Mozgov,LAL,C,54,16000000,401,266,43,32,16
20000849,Goran Dragic,MIA,PG,73,15891725,1483,278,424,13,88
20000608,Kent Bazemore,ATL,SG,73,15730338,801,228,177,53,92
20000512,Pau Gasol,SA,C,64,15500000,792,499,150,70,24
20000482,Draymond Green,GS,PF,76,15330435,776,599,532,105,154
20000577,Tristan Thompson,CLE,C,78,15330435,630,718,77,85,39
20000500,Khris Middleton,MIL,SF,29,15200000,426,122,98,7,41
20000822,Danilo Gallinari,DEN,SF,63,15050000,1145,323,136,15,41
20000632,Jeff Green,ORL,SF,69,15000000,638,211,80,15,38
20000881,Reggie Jackson,DET,PG,52,14956522,752,114,271,5,35
20000649,Tony Parker,SA,PG,63,14445313,638,112,285,2,33
20000455,Jonas Valanciunas,TOR,C,80,14382023,959,761,57,64,38
20000601,DeMarre Carroll,TOR,SF,72,14200000,638,276,74,28,81
20000587,Thaddeus Young,IND,PF,74,14153652,814,448,120,30,114
20000653,Manu Ginobili,SA,SG,69,14000000,517,157,183,16,82
20000530,Rajon Rondo,CHI,PG,69,14000000,538,358,459,11,100
20000797,Ricky Rubio,MIN,PG,75,13550000,836,306,680,10,128
20000860,Rudy Gay,SAC,SF,30,13333333,562,190,83,26,45
20000666,Jamal Crawford,LAC,SG,82,13253012,1008,129,213,14,60
20000618,Robin Lopez,CHI,C,81,13219250,839,518,81,118,18
20000748,Michael Kidd-Gilchrist,CHA,SF,81,13000000,743,563,113,76,79
20000745,Brandon Knight,PHO,PG,54,12606250,595,120,129,5,27
20000502,John Henson,MIL,PF,58,12517606,392,295,57,81,30
20000628,Arron Afflalo,SAC,SG,61,12500000,515,125,78,7,23
20000528,Tyson Chandler,PHO,C,47,12415000,397,538,30,24,33
20000471,Eric Gordon,HOU,SG,75,12385364,1217,202,188,39,48
20000874,Serge Ibaka,TOR,PF,79,12250000,1173,538,74,122,41
20000749,Marvin Williams,CHA,PF,76,12250000,849,494,106,54,58
20000485,Stephen Curry,GS,PG,79,12112359,1999,354,522,17,144
20000821,Kenneth Faried,DEN,PF,61,12078652,587,458,55,41,43
20000440,Marcin Gortat,WAS,C,82,12000000,883,845,122,65,37
20000752,Kemba Walker,CHA,PG,79,12000000,1830,311,435,20,86
20000458,Amir Johnson,BOS,PF,80,12000000,520,363,141,63,50
20000678,Nikola Vucevic,ORL,C,75,11750000,1096,778,208,75,76
20000704,Jeremy Lin,BKN,PG,36,11483254,523,135,184,15,41
20000474,Jrue Holiday,NO,PG,67,11286518,1029,261,488,43,99
20000634,Courtney Lee,NY,SG,77,11242000,835,258,179,22,81
20000730,Solomon Hill,NO,SF,80,11241218,563,306,141,32,72
20000824,Wilson Chandler,DEN,SF,71,11233146,1117,460,142,32,52
20000487,Andre Iguodala,GS,SF,76,11131368,574,304,260,38,77
20000834,Derrick Favors,UTA,PF,50,11050000,476,303,56,40,44
20000586,Joe Johnson,UTA,SG,78,11000000,715,243,144,18,35
20000667,Austin Rivers,LAC,PG,74,11000000,889,160,204,10,49
20000643,Jon Leuer,DET,PF,75,10991957,769,403,111,26,31
20000529,Monta Ellis,IND,SG,74,10763500,630,202,237,27,77
20000600,Mirza Teletovic,MIL,PF,70,10500000,451,161,48,13,12
20000505,Jared Dudley,PHO,SF,64,10470000,434,223,121,16,42
20000631,Zach Randolph,MEM,PF,73,10361445,1028,598,122,10,38
20000750,Al Jefferson,IND,C,66,10314532,535,279,57,17,17
20000472,Tyreke Evans,SAC,SG,40,10203755,411,136,125,9,35
20000650,Danny Green,SA,SG,68,10000000,497,222,124,57,72
20000453,Terrence Ross,ORL,SG,78,10000000,858,208,88,33,87
20000576,Iman Shumpert,CLE,SG,76,9662922,567,218,109,27,62
20000579,Matthew Dellavedova,MIL,PG,76,9607500,577,149,358,0,50
20000838,Trevor Booker,BKN,PF,71,9250000,709,572,138,28,75
20000621,Meyers Leonard,POR,C,74,9213483,401,236,71,28,13
20000757,Gerald Henderson,PHI,SG,72,9000000,662,185,112,14,41
20000686,Maurice Harkless,POR,SF,77,8988765,773,342,88,68,84
20000517,Taj Gibson,OKC,PF,78,8950000,846,488,73,65,43
20000605,Jeff Teague,IND,PG,82,8800000,1254,331,638,32,101
20000498,Ersan Ilyasova,ATL,PF,82,8400000,1073,483,138,24,59
20000539,Dwight Powell,DAL,PF,77,8375000,516,306,49,39,61
20000559,Avery Bradley,BOS,SG,55,8269663,894,334,121,11,68
