PlayerID,Name,Team,Position,Games
20000438,Paul Pierce,LAC,SF,25
20000439,Nene Hilario,HOU,C,67
20000440,Marcin Gortat,WAS,C,82
20000441,Bradley Beal,WAS,SG,78
20000442,John Wall,WAS,PG,78
20000443,Otto Porter,WAS,SF,80
20000445,Ramon Sessions,CHA,PG,50
20000446,Kevin Seraphin,IND,C,49
20000449,Kris Humphries,ATL,PF,56
20000452,Garrett Temple,SAC,SG,65
20000453,Terrence Ross,ORL,SG,78
20000455,Jonas Valanciunas,TOR,C,80
20000456,DeMar DeRozan,TOR,SG,74
20000457,Kyle Lowry,TOR,PG,60
20000458,Amir Johnson,BOS,PF,80
20000459,Lou Williams,HOU,SG,81
20000460,Patrick Patterson,TOR,PF,65
20000461,Greivis Vasquez,BKN,PG,3
20000464,James Johnson,MIA,PF,76
20000466,Bruno Caboclo,TOR,SF,9
20000467,Lucas Nogueira,TOR,C,57
20000468,Anthony Davis,NO,PF,75
20000469,Quincy Pondexter,NO,SG,0
20000470,Omer Asik,NO,C,32
20000471,Eric Gordon,HOU,SG,75
20000472,Tyreke Evans,SAC,SG,40
20000473,Norris Cole,OKC,PG,13
20000474,Jrue Holiday,NO,PG,67
20000475,Ryan Anderson,HOU,PF,72
20000476,Dante Cunningham,NO,SF,66
20000477,Alexis Ajinca,NO,C,39
20000478,Luke Babbitt,MIA,SF,69
20000479,Toney Douglas,MEM,PG,24
20000481,Jeff Withey,UTA,C,52
20000482,Draymond Green,GS,PF,76
20000483,Harrison Barnes,DAL,SF,79
20000484,Andrew Bogut,CLE,C,27
20000485,Stephen Curry,GS,PG,79
20000486,Klay Thompson,GS,SG,78
20000487,Andre Iguodala,GS,SF,76
20000488,Shaun Livingston,GS,PG,76
20000489,Leandro Barbosa,PHO,SG,67
20000490,Festus Ezeli,POR,C,0
20000491,Marreese Speights,LAC,PF,82
20000492,Justin Holiday,NY,SG,82
20000493,James Michael McAdoo,GS,SF,52
20000494,Brandon Rush,MIN,SG,47
20000496,David Lee,SA,PF,79
20000497,Giannis Antetokounmpo,MIL,PF,80
20000498,Ersan Ilyasova,ATL,PF,82
20000499,Zaza Pachulia,GS,C,70
20000500,Khris Middleton,MIL,SF,29
20000501,Michael Carter-Williams,CHI,PG,45
20000502,John Henson,MIL,PF,58
20000504,Jerryd Bayless,PHI,PG,3
20000505,Jared Dudley,PHO,SF,64
20000506,Tyler Ennis,LAL,PG,53
20000508,Johnny O'Bryant,CHA,PF,11
20000509,Miles Plumlee,CHA,C,45
20000511,Jabari Parker,MIL,PF,51
20000512,Pau Gasol,SA,C,64
20000513,Mike Dunleavy,ATL,SG,53
20000514,Joakim Noah,NY,C,46
20000515,Jimmy Butler,CHI,SG,76
20000516,Derrick Rose,NY,PG,64
20000517,Taj Gibson,OKC,PF,78
20000518,Aaron Brooks,IND,PG,65
20000519,Tony Snell,MIL,SG,80
20000520,Nikola Mirotic,CHI,PF,70
20000522,Doug McDermott,OKC,SF,66
20000524,E'Twaun Moore,NO,SG,73
20000526,Chandler Parsons,MEM,SF,34
20000527,Dirk Nowitzki,DAL,PF,54
20000528,Tyson Chandler,PHO,C,47
20000529,Monta Ellis,IND,SG,74
20000530,Rajon Rondo,CHI,PG,69
20000531,J.J. Barea,DAL,PG,35
20000532,Al-Farouq Aminu,POR,PF,62
20000534,Devin Harris,DAL,PG,65
20000535,Richard Jefferson,CLE,SF,79
20000537,Raymond Felton,LAC,PG,80
20000539,Dwight Powell,DAL,PF,77
20000541,Trevor Ariza,HOU,SF,80
20000542,Terrence Jones,MIL,PF,54
20000543,Dwight Howard,ATL,C,74
20000544,James Harden,HOU,PG,81
20000545,Jason Terry,MIL,SG,74
20000547,Corey Brewer,LAL,SF,82
20000549,Clint Capela,HOU,C,65
20000552,K.J. McDaniels,BKN,SG,49
20000554,Patrick Beverley,HOU,PG,67
20000555,Donatas Motiejunas,NO,PF,34
20000556,Evan Turner,POR,SG,65
20000557,Brandon Bass,LAC,PF,52
20000558,Tyler Zeller,BOS,C,51
20000559,Avery Bradley,BOS,SG,55
20000560,Marcus Smart,BOS,PG,79
20000561,Isaiah Thomas,BOS,PG,76
20000562,Jae Crowder,BOS,PF,72
20000563,Jonas Jerebko,BOS,PF,78
20000564,Kelly Olynyk,BOS,C,75
20000565,Jared Sullinger,PHO,C,11
20000570,James Young,BOS,SG,29
20000571,LeBron James,CLE,SF,74
20000572,Kevin Love,CLE,PF,60
20000573,Timofey Mozgov,LAL,C,54
20000574,Kyrie Irving,CLE,PG,72
20000575,J.R. Smith,CLE,SG,41
20000576,Iman Shumpert,CLE,SG,76
20000577,Tristan Thompson,CLE,C,78
20000578,James Jones,CLE,SG,48
20000579,Matthew Dellavedova,MIL,PG,76
20000582,Mike Miller,DEN,SG,20
20000584,Joe Harris,BKN,SG,52
20000585,Anderson Varejao,GS,C,14
20000586,Joe Johnson,UTA,SG,78
20000587,Thaddeus Young,IND,PF,74
20000588,Brook Lopez,BKN,C,75
20000589,Deron Williams,CLE,PG,64
20000591,Bojan Bogdanovic,WAS,SF,81
20000592,Jarrett Jack,NO,PG,2
20000593,Alan Anderson,LAC,SG,31
20000594,Mason Plumlee,DEN,C,81
20000600,Mirza Teletovic,MIL,PF,70
20000601,DeMarre Carroll,TOR,SF,72
20000602,Paul Millsap,ATL,PF,69
20000603,Al Horford,BOS,PF,68
20000604,Kyle Korver,CLE,SG,67
20000605,Jeff Teague,IND,PG,82
20000606,Dennis Schroder,ATL,PG,79
20000608,Kent Bazemore,ATL,SG,73
20000609,Mike Scott,PHO,PF,18
20000610,Shelvin Mack,UTA,PG,55
20000612,John Jenkins,PHO,SG,4
20000613,Mike Muscala,ATL,PF,70
20000615,Thabo Sefolosha,ATL,SF,62
20000616,LaMarcus Aldridge,SA,PF,72
20000617,Nicolas Batum,CHA,SG,77
20000618,Robin Lopez,CHI,C,81
20000619,Damian Lillard,POR,PG,75
20000620,C.J. McCollum,POR,SG,80
20000621,Meyers Leonard,POR,C,74
20000622,Allen Crabbe,POR,SG,79
20000625,Tim Frazier,NO,PG,65
20000627,Alonzo Gee,DEN,SF,13
20000628,Arron Afflalo,SAC,SG,61
20000629,Wesley Matthews,DAL,SG,73
20000631,Zach Randolph,MEM,PF,73
20000632,Jeff Green,ORL,SF,69
20000633,Marc Gasol,MEM,C,74
20000634,Courtney Lee,NY,SG,77
20000635,Mike Conley,MEM,PG,69
20000636,Tony Allen,MEM,SG,71
20000637,Beno Udrih,DET,PG,39
20000638,Vince Carter,MEM,SG,73
20000639,Kosta Koufos,SAC,C,71
20000642,JaMychal Green,MEM,PF,77
20000643,Jon Leuer,DET,PF,75
20000645,Jarnell Stokes,DEN,PF,2
20000646,Kawhi Leonard,SA,SF,74
20000648,Tiago Splitter,PHI,C,9
20000649,Tony Parker,SA,PG,63
20000650,Danny Green,SA,SG,68
20000651,Boris Diaw,UTA,C,73
20000652,Aron Baynes,DET,C,75
20000653,Manu Ginobili,SA,SG,69
20000654,Marco Belinelli,CHA,SG,74
20000655,Cory Joseph,TOR,PG,80
20000656,Patty Mills,SA,PG,80
20000659,Kyle Anderson,SA,SF,72
20000660,Reggie Williams,NO,SF,7
20000661,Blake Griffin,LAC,PF,61
20000662,Matt Barnes,GS,SF,74
20000663,DeAndre Jordan,LAC,C,81
20000664,Chris Paul,LAC,PG,61
20000665,J.J. Redick,LAC,SF,78
20000666,Jamal Crawford,LAC,SG,82
20000667,Austin Rivers,LAC,PG,74
20000670,Spencer Hawes,MIL,PF,54
